team1,winloss1,points1,team2,winloss2,points2
6,-1,87,7,1,74
14,-1,67,2,1,60
5,-1,82,8,1,81
1,1,77,15,-1,70
9,1,76,10,-1,65
13,-1,48,12,1,34
11,1,63,4,-1,61
6,1,64,11,-1,46
3,-1,77,14,1,63
1,-1,73,10,1,72
8,-1,91,15,1,82
12,-1,97,5,1,63
4,1,72,2,-1,53
13,1,56,9,-1,47
4,1,70,5,-1,58
7,-1,73,2,1,68
3,1,88,1,-1,49
10,-1,88,12,1,87
15,-1,69,11,1,65
13,1,65,14,-1,39
3,-1,95,7,1,62
2,1,81,8,-1,70
4,-1,78,6,1,65
5,-1,96,9,1,83
1,1,60,13,-1,53
14,-1,67,12,1,63
6,1,74,7,-1,58
8,1,73,10,-1,68
11,-1,73,9,1,65
4,-1,78,15,1,68
3,-1,73,5,1,64
6,-1,67,10,1,64
14,1,72,8,-1,58
12,-1,63,13,1,55
2,-1,79,9,1,76
5,-1,71,1,1,52
3,1,90,15,-1,59
7,1,66,11,-1,58
6,-1,73,11,1,68
14,-1,80,15,1,70
2,1,79,3,-1,72
12,1,76,1,-1,50
8,1,80,7,-1,63
4,1,54,13,-1,50
10,-1,78,5,1,74
11,1,66,9,-1,52
12,-1,71,14,1,69
8,1,60,2,-1,54
4,-1,83,7,1,79
6,-1,79,3,1,73
13,-1,63,5,1,58
15,1,80,1,-1,62
8,-1,53,13,1,51
2,1,71,15,-1,68
3,1,89,7,-1,59
14,1,79,9,-1,77
12,-1,84,10,1,82
11,1,74,1,-1,72
6,1,68,5,-1,64
1,1,61,14,-1,56
12,1,69,11,-1,61
9,1,94,7,-1,71
6,1,80,2,-1,62
5,1,64,8,-1,58
4,1,85,10,-1,84
13,-1,65,15,1,63
9,-1,75,8,1,65
7,1,71,14,-1,61
2,1,71,12,-1,70
13,1,61,4,-1,56
3,1,79,11,-1,67
6,-1,86,1,1,69
10,1,90,15,-1,80
1,-1,71,9,1,70
6,-1,77,8,1,57
3,-1,97,12,1,88
15,1,56,2,-1,44
10,1,80,5,-1,72
4,-1,74,14,1,63
11,1,62,7,-1,57
4,1,65,9,-1,59
3,-1,63,1,1,55
5,1,76,14,-1,57
6,1,86,15,-1,76
8,-1,83,7,1,72
10,1,80,11,-1,72
13,1,51,2,-1,44
1,-1,77,14,1,73
6,1,80,13,-1,73
12,1,75,15,-1,73
4,1,99,7,-1,81
11,1,73,5,-1,64
3,-1,98,9,1,96
10,-1,61,2,1,57
3,1,70,4,-1,65
8,-1,79,12,1,74
15,1,74,9,-1,57
13,1,50,10,-1,49
7,1,85,1,-1,58
2,-1,72,11,1,52
5,1,64,6,-1,58
7,1,71,15,-1,54
13,-1,64,9,1,62
14,1,67,11,-1,57
4,1,80,12,-1,77
3,1,94,10,-1,60
2,1,77,6,-1,62
1,1,71,8,-1,68
10,1,77,9,-1,76
4,1,82,11,-1,67
13,1,78,1,-1,65
6,1,90,12,-1,66
7,-1,102,14,1,95
5,-1,86,15,1,79
8,1,88,3,-1,66
6,1,72,9,-1,55
13,-1,59,11,1,56
2,-1,82,1,1,64
3,1,88,14,-1,64
4,-1,67,8,1,61
12,1,79,5,-1,72
10,1,87,7,-1,71
4,1,82,6,-1,67
9,1,85,8,-1,79
15,1,113,3,-1,101
5,1,68,2,-1,59
10,-1,62,1,1,61
12,-1,72,11,1,49
13,-1,56,14,1,53
8,1,77,11,-1,73
9,-1,92,12,1,79
13,1,52,3,-1,50
5,1,63,7,-1,57
15,1,84,10,-1,73
2,1,70,4,-1,69
